TCGA-A7-A13D-01A-13R-A12P-07	TCGA-E9-A1RH-11A-34R-A169-07
A1BG	5	2
A1CF	10	0
A2M	37031	105288
A2ML1	5745	34
A3GALT2	6	2
A4GALT	945	1283
A4GNT	3	19
AAAS	1905	1632
AACS	3127	5427
AADAC	1	794
AADACL2	0	13
AADACL3	0	6
AADACL4	0	1
AADAT	767	245
AAGAB	3559	1815
AAK1	3319	4563
AAMDC	304	711
AAMP	6779	5344
AANAT	6	1
AAR2	3960	2911
AARD	3391	117
AARS2	1045	609
AARSD1	70	25
AASDH	388	1014
AASDHPPT	1184	1834
AASS	181	3412
AATF	4137	2404
AATK	270	223
ABAT	325	978
ABCA1	1708	12784
ABCA10	55	1767
ABCA12	300	81
ABCA13	43	3
ABCA2	2357	4303
ABCA3	2875	3080
ABCA4	121	227
ABCA5	746	2964
ABCA6	18	3126
ABCA7	568	876
ABCA8	20	17596
ABCA9	25	7611
ABCB1	12	955
ABCB10	765	1328
ABCB11	1	55
ABCB4	65	173
ABCB5	4	743
ABCB6	34	26
ABCB7	1695	1978
ABCB8	3540	1076
ABCB9	1000	131
ABCC1	6140	2640
ABCC10	796	590
ABCC11	12	314
ABCC12	1	2
ABCC2	106	130
ABCC3	830	626
ABCC4	1023	396
ABCC5	2391	1484
ABCC6	72	1394
ABCC8	0	74
ABCC9	702	7343
ABCD1	1569	2124
ABCD2	11	4637
ABCD3	4951	3418
ABCD4	793	2446
ABCE1	4134	2789
ABCF1	5523	3696
ABCF2	1677	587
ABCF3	2879	2406
ABCG1	801	2053
ABCG2	38	485
ABCG4	9	9
ABCG5	3	8
ABCG8	4	60
ABHD1	22	224
ABHD10	1965	2039
ABHD11	5627	630
ABHD12	5307	2508
ABHD12B	16	129
ABHD13	716	1250
ABHD14A	165	380
ABHD14B	1796	8544
ABHD15	216	4184
ABHD16A	42	28
ABHD16B	0	0
ABHD17A	1917	1272
ABHD17B	1124	714
ABHD17C	1989	389
ABHD2	4730	5488
ABHD3	501	1068
ABHD4	2013	2542
ABHD5	1868	8409
ABHD6	213	1581
ABHD8	344	443
ABI1	8295	3421
ABI2	2254	2554
ABI3	186	407
ABI3BP	118	14537
ABL1	5456	7214
ABL2	3571	2389
ABLIM1	14890	26090
ABLIM2	539	264
ABLIM3	686	5694
ABO	55	323
ABR	3810	4738
ABRA	2	1
ABRACL	2992	484
ABT1	1297	965
ABTB1	679	2646
ABTB2	1703	242
ACAA1	2736	2918
ACAA2	2050	10862
ACACA	7945	14327
ACACB	351	65970
ACAD10	824	1555
ACAD11	11	30
ACAD8	658	2161
ACAD9	2288	3121
ACADL	2	1751
ACADM	2011	7555
ACADS	563	5500
ACADSB	886	5038
ACADVL	13633	20944
ACAN	1130	15
ACAP1	167	247
ACAP2	3063	5048
ACAP3	3036	1138
ACAT1	2168	8959
ACAT2	1378	686
ACBD3	4103	2889
ACBD4	190	852
ACBD5	3693	2886
ACBD6	2041	1154
ACBD7	205	33
ACCS	269	953
ACCSL	0	2
ACD	698	531
ACE	732	2197
ACE2	10	54
ACER1	6	6
ACER2	54	791
ACER3	638	7340
ACHE	106	56
ACIN1	7412	6198
ACKR1	2	6903
ACKR2	1971	313
ACKR3	2444	12624
ACKR4	17	651
ACLY	32265	7324
ACMSD	2	7
ACO1	3068	28269
ACO2	4718	8235
ACOT1	66	540
ACOT11	181	54
ACOT12	0	1
ACOT13	460	1363
ACOT2	486	3660
ACOT4	195	541
ACOT6	0	2
ACOT7	2822	477
ACOT8	1063	573
ACOT9	10960	2460
ACOX1	10839	10567
ACOX2	79	1559
ACOX3	1846	1124
ACOXL	46	329
ACP1	7050	2898
ACP2	1873	2140
ACP5	1298	1070
ACP6	846	752
ACR	16	17
ACRBP	82	108
ACRV1	13	3
ACSBG1	7	14
ACSBG2	10	7
ACSF2	2614	3959
ACSF3	1005	878
ACSL1	13061	140156
ACSL3	7122	6246
ACSL4	3042	8496
ACSL5	796	2037
ACSL6	900	14
ACSM1	18	63
ACSM2A	0	20
ACSM2B	1	19
ACSM3	99	146
ACSM4	36	17
ACSM5	9	2003
ACSM6	2	3
ACSS1	1067	1244
ACSS2	2957	17053
ACSS3	639	10610
ACTA1	132	176
ACTA2	10371	10871
ACTB	452928	155617
ACTBL2	10	2
ACTC1	23	10
ACTG1	420420	85427
ACTG2	2196	10453
ACTL10	0	0
ACTL6A	3655	1339
ACTL6B	0	0
ACTL7A	0	0
ACTL7B	0	0
ACTL8	338	0
ACTL9	0	0
ACTN1	35338	19872
ACTN2	21	30
ACTN3	3	3
ACTN4	58418	17891
ACTR10	2263	3591
ACTR1A	5156	6758
ACTR1B	3408	3351
ACTR2	23424	16192
ACTR3	19772	8685
ACTR3B	1667	307
ACTR3C	212	97
ACTR5	679	400
ACTR6	1004	1385
ACTR8	1052	1278
ACTRT1	0	0
ACTRT2	0	0
ACTRT3	92	208
ACVR1	2777	4021
ACVR1B	3393	2017
ACVR1C	54	20754
ACVR2A	1103	1544
ACVR2B	590	1050
ACVRL1	1317	3730
ACY1	13	14
ACY3	28	27
ACYP1	207	188
ACYP2	320	941
ADA	1246	735
ADAD1	0	0
ADAD2	0	3
ADAL	230	828
